name,handedness,height,weight,avg,HR,count,value,avg_mean,avg_HR,avg_handedness
Tom Brown,R,73,170,0,0,1,1,0.238,43,R
Denny Lemaster,R,73,182,0.13,4,1,2,0.252,56,L
Joe Nolan,L,71,175,0.263,27,1,3,0.24,32,B
Denny Doyle,L,69,175,0.25,16,1,4,,,
Jose Cardenal,R,70,150,0.275,138,1,5,,,
Mike Ryan,R,74,205,0.193,28,1,6,,,
Fritz Peterson,B,72,185,0.159,2,1,7,,,
Dick Bertell,R,72,200,0.25,10,1,8,,,
Rod Kanehl,R,73,180,0.241,6,1,9,,,
Ozzie Osborn,R,74,195,0,0,1,10,,,
John LaRose,L,73,185,0,0,1,11,,,
Jeff Byrd,R,75,195,0,0,1,12,,,
Juan Bonilla,R,69,170,0.256,7,1,13,,,
Frank Tepedino,L,71,185,0.241,6,1,14,,,
Jerry Kutzler,L,73,175,0,0,1,15,,,
Rick Wise,R,73,180,0.195,15,1,16,,,
Darrell Evans,L,74,200,0.248,414,1,17,,,
Buck Martinez,R,70,190,0.225,58,1,18,,,
John Wockenfuss,R,72,190,0.262,86,1,19,,,
Tommy McCraw,L,72,183,0.246,75,1,20,,,
Jeff Barkley,B,75,185,0,0,1,21,,,
Eric Wilkins,R,73,190,0,0,1,22,,,
Britt Burns,L,77,215,0,0,1,23,,,
Lee Lacy,R,73,175,0.286,91,1,24,,,
Pete Rose,B,71,192,0.303,160,1,25,,,
Danny Walton,R,72,195,0.223,28,1,26,,,
Bobby Cox,R,71,180,0.225,9,1,27,,,
Brad Wellman,R,72,170,0.231,6,1,28,,,
Jeff Newman,R,74,215,0.224,63,1,29,,,
Pedro Gonzalez,R,72,176,0.244,8,1,30,,,
Nardi Contreras,B,74,193,0,0,1,31,,,
Tommie Reynolds,R,74,190,0.226,12,1,32,,,
Gene Clines,R,69,170,0.277,5,1,33,,,
Jim Hickman,R,75,192,0.252,159,1,34,,,
Jack Billingham,R,76,195,0.111,0,1,35,,,
Jerry Buchek,R,71,185,0.22,22,1,36,,,
Ivan DeJesus,R,71,175,0.254,21,1,37,,,
Gary Nolan,R,74,197,0.138,1,1,38,,,
Gil Patterson,R,73,185,0,0,1,39,,,
Fred Whitfield,L,73,190,0.253,108,1,40,,,
Larry Dierker,R,76,215,0.136,4,1,41,,,
